"country","iso2c","iso3c","year","RQ.EST","VA.EST","PV.EST","GE.EST","CC.EST","RL.EST"
"Bangladesh","BD","BGD",2019,-0.931169450283051,-0.74178558588028,-0.932975292205811,-0.731802582740784,-0.994909584522247,-0.631936311721802
"Bangladesh","BD","BGD",2020,-0.90426778793335,-0.769074320793152,-0.922474503517151,-0.755047261714935,-0.979526102542877,-0.560531854629517
"Brazil","BR","BRA",2010,0.246619865298271,0.571348905563354,0.0134759107604623,-0.0942155122756958,0.0438063591718674,0.0564144365489483
"Brazil","BR","BRA",2011,0.25802206993103,0.513676166534424,-0.132575422525406,-0.160819366574287,0.168382421135902,0.0451417230069637
"Brazil","BR","BRA",2012,0.173244088888168,0.477906197309494,0.0459616407752037,-0.169213905930519,-0.0468542315065861,-0.0769327953457832
"Brazil","BR","BRA",2013,0.146290123462677,0.417426258325577,-0.258553296327591,-0.126656055450439,-0.0976997464895248,-0.0918470323085785
"Brazil","BR","BRA",2014,-0.0282199531793594,0.471947550773621,-0.070290133357048,-0.181397631764412,-0.365745902061462,-0.0527190156280994
"Brazil","BR","BRA",2015,-0.164282530546188,0.458866268396378,-0.33145809173584,-0.232308551669121,-0.433242052793503,-0.166652888059616
"Brazil","BR","BRA",2016,-0.179583877325058,0.451864898204803,-0.377205431461334,-0.221285507082939,-0.422299951314926,-0.184023544192314
"Brazil","BR","BRA",2017,-0.116344913840294,0.448033064603806,-0.473864614963531,-0.292603075504303,-0.536921918392181,-0.287289172410965
"Brazil","BR","BRA",2018,-0.280460000038147,0.366284221410751,-0.440423458814621,-0.498852431774139,-0.458420366048813,-0.283916890621185
"Brazil","BR","BRA",2019,-0.109311006963253,0.302300244569778,-0.713788211345673,-0.206858992576599,-0.386171013116837,-0.203433260321617
"Brazil","BR","BRA",2020,-0.0972420945763588,0.295445382595062,-0.431489855051041,-0.4376100897789,-0.407126694917679,-0.209849342703819
"Bulgaria","BG","BGR",2010,0.680432558059692,0.531482577323914,0.360091060400009,-0.0697367191314697,-0.237023547291756,-0.0970613583922386
"Bulgaria","BG","BGR",2011,0.552520036697388,0.450080156326294,0.301750302314758,-0.0756210312247276,-0.269264370203018,-0.141564160585403
"Bulgaria","BG","BGR",2012,0.574710845947266,0.400915592908859,0.379833996295929,-0.031450092792511,-0.281460791826248,-0.115051358938217
"Bulgaria","BG","BGR",2013,0.549109816551209,0.337270796298981,0.170710384845734,-0.0155216613784432,-0.327604949474335,-0.147228062152863
"Bulgaria","BG","BGR",2014,0.585273623466492,0.366481721401215,0.0785408988595009,-0.113804370164871,-0.302766591310501,-0.0819186419248581
"Bulgaria","BG","BGR",2015,0.591456353664398,0.432587623596191,0.0173221882432699,0.0163866877555847,-0.321295171976089,-0.138988807797432
"Bulgaria","BG","BGR",2016,0.710182666778564,0.402202278375626,0.0773332640528679,0.120276361703873,-0.236125767230988,-0.123008623719215
"Bulgaria","BG","BGR",2017,0.66862416267395,0.429832309484482,0.332049906253815,0.128312349319458,-0.171382769942284,-0.105917312204838
"Bulgaria","BG","BGR",2018,0.615697503089905,0.356660842895508,0.456277936697006,0.140734523534775,-0.164292946457863,-0.0854209065437317
"Bulgaria","BG","BGR",2019,0.543415307998657,0.355631977319717,0.578860998153687,0.20231106877327,-0.157977610826492,-0.0140076251700521
"Bulgaria","BG","BGR",2020,0.474105209112167,0.261954098939896,0.418060213327408,-0.182731494307518,-0.30007928609848,-0.105334796011448
"Canada","CA","CAN",2010,1.69343030452728,1.35265874862671,0.936318218708038,1.77762567996979,2.06187319755554,1.79859042167664
"Canada","CA","CAN",2011,1.68484020233154,1.38014459609985,1.07717573642731,1.77233076095581,1.97113347053528,1.72711992263794
"Canada","CA","CAN",2012,1.70719468593597,1.43750536441803,1.11301624774933,1.75665128231049,1.91890442371368,1.75642120838165
"Canada","CA","CAN",2013,1.72989094257355,1.4534866809845,1.06142175197601,1.78109800815582,1.87934255599976,1.74749934673309
"Canada","CA","CAN",2014,1.83872532844543,1.41238820552826,1.17550384998322,1.75431442260742,1.83242726325989,1.88638472557068
"Canada","CA","CAN",2015,1.71283161640167,1.46714651584625,1.27469778060913,1.75740849971771,1.88442969322205,1.83552145957947
"Canada","CA","CAN",2016,1.73572981357574,1.44514811038971,1.25605857372284,1.77425181865692,1.98477900028229,1.83127045631409
"Canada","CA","CAN",2017,1.88453769683838,1.47772514820099,1.10206270217896,1.84851443767548,1.92010080814362,1.794673204422
"Canada","CA","CAN",2018,1.70493006706238,1.49013364315033,0.979125916957855,1.7078355550766,1.82379758358002,1.74711883068085
"Canada","CA","CAN",2019,1.71465253829956,1.43186473846436,1.01676774024963,1.7242956161499,1.76385736465454,1.7518424987793
"Canada","CA","CAN",2020,1.60048234462738,1.47540128231049,1.02984178066254,1.63518702983856,1.59498167037964,1.6466429233551
"Denmark","DK","DNK",2010,1.87385439872742,1.54195690155029,1.04096102714539,2.0998740196228,2.35235905647278,1.89844179153442
"Denmark","DK","DNK",2011,1.89863109588623,1.55170702934265,1.10029304027557,2.10086107254028,2.39288401603699,1.91979134082794
"Denmark","DK","DNK",2012,1.79916131496429,1.67411422729492,0.914910674095154,1.98666501045227,2.3824622631073,1.87506687641144
"Denmark","DK","DNK",2013,1.80028736591339,1.66627061367035,0.959233462810516,1.94354319572449,2.39926409721375,1.90229380130768
"Denmark","DK","DNK",2014,1.6811044216156,1.52460658550262,0.951779723167419,1.78535032272339,2.25234031677246,2.10087656974792
"Denmark","DK","DNK",2015,1.72973334789276,1.55284702777863,0.897649824619293,1.82099413871765,2.22680330276489,2.04495477676392
"Denmark","DK","DNK",2016,1.57222485542297,1.5414125919342,0.867915451526642,1.85056483745575,2.24552083015442,1.9139997959137
"Denmark","DK","DNK",2017,1.61937355995178,1.51776504516602,0.868414878845215,1.77910506725311,2.23230719566345,1.83578789234161
"Denmark","DK","DNK",2018,1.63512682914734,1.56157970428467,0.94625061750412,1.84376227855682,2.1926851272583,1.8058545589447
"Denmark","DK","DNK",2019,1.56350648403168,1.5451831817627,0.995625197887421,1.90285611152649,2.15806865692139,1.86805391311646
"Denmark","DK","DNK",2020,1.79638803005219,1.51908552646637,0.950011312961578,1.88126754760742,2.26832699775696,1.84798157215118
"Egypt, Arab Rep.","EG","EGY",2010,-0.147598043084145,-1.18803703784943,-0.898418307304382,-0.314766198396683,-0.596871852874756,-0.174863860011101
